step,beta,kl_divergence,sentiment_score,reward,beta_action
1,0.01,0.0,0.07211771133976679,0.07211771133976679,decrease
2,0.012,4.552004908439757,0.06689973540293674,0.012275676501659649,increase
3,0.0144,3.4175168146679984,0.0548959542841961,0.005683712152976928,increase
4,0.01728,2.6117490380999526,0.06121125080001851,0.01608022742165133,increase
5,0.020736,2.747081547067186,0.06550516615000863,0.008541683190023476,increase
6,0.0248832,2.549865838676022,0.06805472797714174,0.004605906340198536,increase
7,0.02985984,2.1365756014266597,0.055888989862675466,-0.007908815743828365,increase
8,0.035831808,2.1595220209928825,0.06007329902301232,-0.01730627940497662,increase
9,0.0429981696,1.8562291072266606,0.060115586423004665,-0.019698867545983868,increase
10,0.05159780351999999,1.8465859687704658,0.07510814070701599,-0.020171639292391342,increase
